거래시간,종목코드,현재가,상승확률(%),기대수익,예상손실,손익비,주문수량,주문종류,주문결과,상증확률(%)
2025-07-15 15:52:11,34950.0,100100.0,84.0,4352.74,3707.38,1.17,87.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:52:38,14830.0,89500.0,72.0,5449.39,5358.82,1.02,52.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:52:41,90430.0,139400.0,85.0,7236.14,6559.02,1.1,46.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:52:45,34950.0,100100.0,84.0,4937.46,3266.49,1.51,127.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:53:11,14830.0,89500.0,80.0,5914.72,5336.55,1.11,53.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:53:15,90430.0,139400.0,82.0,8446.06,7313.11,1.15,40.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:53:19,34950.0,100100.0,86.0,5178.86,3217.4,1.61,129.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:53:45,14830.0,89500.0,73.0,5397.43,5955.98,0.91,41.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:53:49,90430.0,139400.0,85.0,8614.37,6889.46,1.25,49.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:53:53,34950.0,100100.0,85.0,4724.15,3088.34,1.53,134.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:54:19,14830.0,89500.0,69.0,4987.03,5361.59,0.93,46.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:54:23,90430.0,139400.0,79.0,6799.44,6929.52,0.98,37.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:54:26,34950.0,100100.0,93.0,4796.9,2581.47,1.86,190.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:54:53,14830.0,89500.0,84.0,6153.32,5362.38,1.15,56.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:54:56,90430.0,139400.0,79.0,7330.4,6984.58,1.05,39.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:55:00,34950.0,100100.0,84.0,4740.43,2998.81,1.58,139.0,매수,모의투자 장종료 입니다.,
2025-07-16 12:43:55.652562,14830.0,88400.0,75.0,5531.28,5508.9,1.7,46.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 12:43:59.789484,90430.0,135900.0,82.0,8628.04,7289.37,1.7,41.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 12:44:03.590886,34950.0,100700.0,86.0,4942.93,2912.96,1.7,149.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 12:56:05.961191,14830.0,88300.0,75.0,5511.93,5522.85,1.7,46.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 12:56:09.753451,90430.0,135700.0,82.0,8585.58,7319.99,1.7,41.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 12:56:13.481317,34950.0,100700.0,86.0,4942.93,2912.96,1.7,150.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 13:06:28.587975,14830.0,88400.0,76.0,5033.48,5457.51,2.02,5.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 13:06:32.340534,90430.0,135300.0,79.0,8071.28,7107.69,2.02,2.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 13:06:36.050078,34950.0,100700.0,87.0,5410.68,2682.7,2.02,34.0,매수,모의투자 매수주문이 완료 되었습니다.,
