timestamp,cpu_percent,memory_percent,net_sent_MB,net_recv_MB
2025-07-24 13:57:15.257606,23.1,84.7,0.00,0.04
2025-07-24 13:57:16.279387,26.6,84.8,0.00,0.07
2025-07-24 13:57:17.292926,17.7,84.8,0.00,0.03
2025-07-24 13:57:18.327431,19.7,84.6,0.00,0.00
2025-07-24 13:57:19.337942,25.7,84.7,0.00,0.00
2025-07-24 13:57:20.370552,22.6,84.7,0.00,0.00
2025-07-24 13:57:21.386063,27.9,84.7,0.00,0.00
2025-07-24 13:57:22.411704,21.0,84.8,0.00,0.00
2025-07-24 13:57:23.431834,23.1,84.8,0.00,0.00
2025-07-24 13:57:24.453521,17.3,84.7,0.00,0.00
2025-07-24 13:57:25.472839,20.0,84.6,0.00,0.00
2025-07-24 13:57:26.484872,30.2,84.6,0.00,0.00
2025-07-24 13:57:27.500185,19.2,84.6,0.00,0.00
2025-07-24 13:57:28.518962,18.3,84.6,0.00,0.00
2025-07-24 13:57:29.552045,20.0,84.6,0.00,0.00
2025-07-24 13:57:30.571302,21.7,84.6,0.00,0.00
2025-07-24 13:57:31.586198,26.6,84.4,0.00,0.07
2025-07-24 13:57:32.613861,22.1,84.4,0.00,0.00
2025-07-24 13:57:33.634778,20.4,84.4,0.00,0.00
2025-07-24 13:57:34.653367,21.8,84.5,0.00,0.00
2025-07-24 13:57:35.672650,26.1,84.3,0.00,0.00
2025-07-24 13:57:36.692184,29.3,84.5,0.00,0.00
2025-07-24 13:57:37.707393,20.6,84.6,0.00,0.00
2025-07-24 13:57:38.727073,23.4,84.4,0.00,0.00
2025-07-24 13:57:39.744743,21.4,84.4,0.00,0.00
2025-07-24 13:57:40.776423,20.0,84.4,0.00,0.00
2025-07-24 13:57:41.787045,30.4,84.5,0.00,0.00
2025-07-24 13:57:42.819880,20.3,84.4,0.00,0.00
2025-07-24 13:57:43.836738,21.6,84.4,0.00,0.00
2025-07-24 13:57:44.854271,19.1,84.4,0.00,0.00
2025-07-24 13:57:45.871723,19.2,84.5,0.00,0.00
2025-07-24 13:57:46.885462,23.3,84.5,0.00,0.00
2025-07-24 13:57:47.913812,18.0,84.2,0.00,0.00
2025-07-24 13:57:48.929180,17.6,84.5,0.00,0.00
2025-07-24 13:57:49.946295,20.1,84.4,0.00,0.00
2025-07-24 13:57:50.971328,21.9,84.6,0.00,0.00
2025-07-24 13:57:51.996055,30.9,84.5,0.00,0.00
2025-07-24 13:57:53.008141,23.1,85.0,0.00,0.00
2025-07-24 13:57:54.033359,20.7,83.9,0.00,0.00
2025-07-24 13:57:55.042975,15.4,84.2,0.00,0.00
2025-07-24 13:57:56.058730,25.0,83.7,0.00,0.00
2025-07-24 13:57:57.078141,23.0,84.1,0.00,0.00
2025-07-24 13:57:58.105252,26.5,83.7,0.00,0.00
2025-07-24 13:57:59.123696,20.0,83.5,0.00,0.00
2025-07-24 13:58:00.134845,21.2,83.4,0.00,0.00
2025-07-24 13:58:01.166349,18.2,84.0,0.00,0.00
2025-07-24 13:58:02.181089,18.1,83.6,0.00,0.00
2025-07-24 13:58:03.201813,26.7,83.4,0.00,0.00
2025-07-24 13:58:04.214984,25.8,83.3,0.00,0.00
2025-07-24 13:58:05.232169,20.3,83.6,0.00,0.00
2025-07-24 13:58:06.246755,21.3,83.7,0.00,0.00
2025-07-24 13:58:07.265905,24.0,83.5,0.00,0.00
2025-07-24 13:58:08.280917,28.0,83.3,0.00,0.00
2025-07-24 13:58:09.293642,20.9,83.6,0.00,0.00
2025-07-24 13:58:10.323242,26.6,83.6,0.00,0.00
2025-07-24 13:58:11.339723,26.1,83.2,0.00,0.00
2025-07-24 13:58:12.355634,19.5,83.1,0.00,0.00
2025-07-24 13:58:13.375255,34.5,83.4,0.00,0.00
2025-07-24 13:58:14.389514,24.6,83.4,0.00,0.00
2025-07-24 13:58:15.409818,23.4,83.1,0.00,0.00
2025-07-24 13:58:16.421599,23.6,82.9,0.00,0.00
2025-07-24 13:58:17.438598,18.9,83.3,0.00,0.00
2025-07-24 13:58:18.453309,26.8,83.4,0.00,0.00
2025-07-24 13:58:19.469601,23.6,83.0,0.00,0.00
2025-07-24 13:58:20.501659,18.9,82.9,0.00,0.00
2025-07-24 13:58:21.531969,17.9,82.8,0.00,0.00
2025-07-24 13:58:22.573973,11.7,82.6,0.00,0.00
2025-07-24 13:58:23.593533,28.1,82.2,0.00,0.00
2025-07-24 13:58:24.624222,14.8,82.2,0.00,0.00
2025-07-24 13:58:25.660465,12.2,82.2,0.00,0.00
2025-07-24 13:58:26.695640,10.8,82.2,0.00,0.00
2025-07-24 13:58:27.712212,14.1,82.2,0.00,0.00
2025-07-24 13:58:28.750404,13.5,82.3,0.00,0.00
2025-07-24 13:58:29.777978,13.5,82.3,0.00,0.00
2025-07-24 13:58:30.812351,12.1,82.2,0.00,0.00
2025-07-24 13:58:31.833316,13.6,82.2,0.00,0.00
2025-07-24 13:58:32.856284,12.9,82.2,0.00,0.00
2025-07-24 13:58:33.896084,14.4,82.3,0.00,0.00
2025-07-24 13:58:34.918791,20.2,82.2,0.00,0.00
2025-07-24 13:58:35.945404,14.8,82.2,0.00,0.00
2025-07-24 13:58:36.985466,15.2,82.2,0.00,0.00
2025-07-24 13:58:38.021668,14.9,82.3,0.00,0.00
2025-07-24 13:58:39.041112,12.9,82.3,0.00,0.00
2025-07-24 13:58:40.069093,16.3,82.2,0.00,0.00
2025-07-24 13:58:41.102872,16.2,82.2,0.00,0.00
2025-07-24 13:58:42.125933,21.0,82.2,0.00,0.00
2025-07-24 13:58:43.162995,9.4,82.2,0.00,0.00
2025-07-24 13:58:44.178042,14.6,82.2,0.00,0.00
